M, K, N, benchmarking, precompiling, num_choices
256, 128112, 1024, 4.2466, 0.3653, 24
512, 1024, 50265, 0.7889, 0.6630, 19
3072, 1024, 768, 0.5230, 22.3377, 19
1024, 50265, 1024, 5.8382, 0.5100, 24
512, 4096, 128, 0.5152, 0.3629, 19
256, 1024, 256008, 0.7920, 21.9817, 19
2048, 128, 512, 0.5116, 0.4688, 19
32000, 512, 768, 0.5655, 2.4402, 19
128, 4096, 128, 4.7316, 0.3838, 24
50257, 128, 2048, 0.6205, 0.4184, 19
4096, 1024, 50272, 0.8923, 22.0285, 19
2048, 8192, 256, 0.5699, 0.3538, 19
768, 8192, 3072, 0.6059, 0.3727, 19
512, 4096, 384, 0.5167, 0.3782, 19
2048, 768, 3072, 0.5167, 8.2522, 19
2048, 8192, 512, 0.5894, 0.3622, 19
2048, 50008, 768, 0.8290, 0.3631, 19
50358, 1024, 768, 0.7346, 22.2664, 19
1024, 30000, 128, 0.7091, 0.4149, 19
4096, 50272, 1024, 0.8888, 0.3746, 19
3072, 8192, 768, 0.6336, 0.3977, 19
1024, 512, 256, 0.5248, 2.4700, 19
128, 4096, 512, 0.5329, 0.3513, 19
8192, 512, 2048, 0.5592, 2.4133, 19
128, 1024, 4096, 0.5031, 22.7073, 19
512, 4096, 1024, 0.5270, 0.3557, 19
8192, 768, 768, 0.5194, 8.2276, 19
2048, 768, 768, 0.5093, 8.5577, 19
512, 2048, 128, 0.5106, 97.4959, 19
4096, 4096, 1024, 0.5881, 0.3653, 19
128112, 256, 1024, 0.7653, 0.8453, 19
8192, 30522, 768, 0.9616, 0.4815, 19
2, 16, 768, 0.3296, 0.1378, 12
1024, 512, 1024, 0.5300, 2.4367, 19
512, 2048, 384, 0.5320, 99.3591, 19
2048, 3072, 768, 0.5670, 18.5967, 19
2048, 2304, 768, 0.5237, 145.8423, 19
2, 1024, 1024, 0.4738, 0.3057, 17
1024, 512, 4096, 0.5245, 2.4673, 19
512, 2048, 512, 0.5164, 97.4466, 19
256, 8192, 2048, 0.5683, 0.3857, 19
2, 4096, 768, 0.4833, 0.3334, 17
2, 1024, 4096, 0.4735, 0.3389, 17
2048, 128, 2048, 0.5110, 0.4382, 19
2048, 768, 50008, 0.8070, 8.1049, 19
8192, 2048, 256, 0.5232, 98.6825, 19
512, 2, 1536, 0.4430, 0.2268, 16
4096, 512, 1024, 0.5372, 2.4151, 19
512, 50257, 768, 2.4200, 0.5328, 20
2048, 128, 8192, 0.5174, 0.5030, 19
1024, 1024, 50272, 0.8050, 22.4112, 19
16384, 1024, 4096, 0.8015, 21.9358, 19
